country,Location code,SDMX code**,Type,Parent code,2022,2023,2024,2025
China,156,156,Country/Area,906,1425887.34,1425671.35,1425178.78,1424381.92
India,356,356,Country/Area,5501,1417173.17,1428627.66,1441719.85,1454606.72
Sub-Saharan Africa,1834,202,SDG region,1828,1166766.36,1196275.77,1226533.96,1257334.26
Europe and Northern America,1829,513,SDG region,1828,1120426.46,1121177.06,1122699.87,1124206.67
EUROPE,908,150,Region,1840,743555.77,742272.65,741651.87,741045.33
South-Eastern Asia,920,35,Subregion,935,681125.07,686824.69,692671.32,698370.12
LATIN AMERICA,904,419,Region,1840,660269.07,664997.12,669972.86,674862.05
Northern Africa,1833,747,SDG region,1828,553690.05,562239.66,570813.79,579344.31
Eastern Africa,910,14,Subregion,903,473004.85,485066.93,497385.82,509869.54
South America,931,5,Subregion,904,436816.61,439719.01,442860.82,445938.69
Western Africa,914,11,Subregion,903,429084.92,439868.54,450876.83,462076.06
NORTHERN AMERICA,905,21,Region,1840,376870.70,378904.41,381048.01,383161.33
United States of America,840,840,Country/Area,905,338289.86,339996.56,341814.42,343603.40
Western Asia,922,145,Subregion,935,293720.11,298033.66,302353.82,306647.33
Eastern Europe,923,151,Subregion,908,289626.12,288176.49,287340.69,286542.90
Indonesia,360,360,Country/Area,920,275501.34,277534.12,279798.05,282004.31
Northern Africa,912,15,Subregion,903,259969.95,264206.00,268459.96,272696.99
Pakistan,586,586,Country/Area,5501,235824.86,240485.66,245209.82,249948.89
Nigeria,566,566,Country/Area,914,218541.21,223804.63,229152.22,234573.60
Brazil,76,76,Country/Area,931,215313.50,216422.45,217637.30,218803.06
Middle Africa,911,17,Subregion,903,196077.90,202105.15,208307.44,214645.72
Western Europe,926,155,Subregion,908,195619.90,195841.93,196087.35,196312.24
Central America,916,13,Subregion,904,179060.36,180643.73,182236.45,183814.74
Bangladesh,50,50,Country/Area,5501,171186.37,172954.32,174701.21,176421.51
Southern Europe,925,39,Subregion,908,151759.68,151357.68,150980.43,150607.16
Russian Federation,643,643,Country/Area,923,144713.31,144444.36,143957.08,143494.21
Mexico,484,484,Country/Area,916,127504.13,128455.57,129388.47,130301.39
Japan,392,392,Country/Area,906,123951.69,123294.51,122631.43,121960.41
Ethiopia,231,231,Country/Area,910,123379.92,126527.06,129719.72,132938.56
Philippines,608,608,Country/Area,920,115559.01,117337.37,119106.23,120864.36
Egypt,818,818,Country/Area,912,110990.10,112716.60,114484.25,116275.46
Northern Europe,924,154,Subregion,908,106550.07,106896.54,107243.39,107583.03
Democratic Republic of the Congo,180,180,Country/Area,911,99010.21,102262.81,105625.11,109075.56
Viet Nam,704,704,Country/Area,920,98186.86,98858.95,99497.68,100103.98
Iran (Islamic Republic of),364,364,Country/Area,5501,88550.57,89172.77,89809.78,90410.66
T�rkiye,792,792,Country/Area,922,85341.24,85816.20,86260.42,86696.48
Germany,276,276,Country/Area,926,83369.84,83294.63,83252.47,83199.07
Central Asia,5500,143,Subregion,935,77039.83,78165.57,79271.16,80351.45
Small Island Developing States (SIDS),1637,722,Special other,1803,74363.41,74994.81,75625.40,76246.76
Thailand,764,764,Country/Area,920,71697.03,71801.28,71885.80,71953.05
Southern Africa,913,18,Subregion,903,68598.69,69235.16,69963.88,70742.94
United Kingdom,826,826,Country/Area,924,67508.94,67736.80,67961.44,68180.61
United Republic of Tanzania,834,834,Country/Area,910,65497.75,67438.11,69419.07,71427.81
France,250,250,Country/Area,926,64626.63,64756.58,64881.83,65003.38
South Africa,710,710,Country/Area,913,59893.89,60414.49,61020.22,61673.08
Italy,380,380,Country/Area,925,59037.47,58870.76,58697.74,58518.84
Myanmar,104,104,Country/Area,920,54179.31,54578.00,54964.69,55336.78
Kenya,404,404,Country/Area,910,54027.49,55100.59,56203.03,57323.93
Colombia,170,170,Country/Area,931,51874.02,52085.17,52340.77,52610.72
Republic of Korea,410,410,Country/Area,906,51815.81,51784.06,51741.96,51690.48
Spain,724,724,Country/Area,925,47558.63,47519.63,47473.37,47420.02
Uganda,800,800,Country/Area,910,47249.59,48582.33,49924.25,51284.67
Sudan,729,729,Country/Area,912,46874.20,48109.01,49358.23,50614.63
Argentina,32,32,Country/Area,931,45510.32,45773.88,46057.87,46337.52
OCEANIA,909,9,Region,1840,45038.55,45575.77,46109.21,46639.44
Algeria,12,12,Country/Area,912,44903.23,45606.48,46278.75,46922.03
Iraq,368,368,Country/Area,922,44496.12,45504.56,46523.66,47549.55
Caribbean,915,29,Subregion,904,44392.11,44634.38,44875.59,45108.61
Afghanistan,4,4,Country/Area,5501,41128.77,42239.85,43372.95,44515.79
Poland,616,616,Country/Area,923,39857.15,41026.07,40221.73,39616.73
Ukraine,804,804,Country/Area,923,39701.74,36744.63,37937.82,38759.08
Canada,124,124,Country/Area,905,38454.33,38781.29,39107.05,39431.45
Morocco,504,504,Country/Area,912,37457.97,37840.04,38211.46,38571.29
Saudi Arabia,682,682,Country/Area,922,36408.82,36947.03,37473.93,37989.97
Angola,24,24,Country/Area,911,35588.99,36684.20,37804.63,38942.79
Uzbekistan,860,860,Country/Area,5500,34627.65,35163.94,35673.80,36159.02
Peru,604,604,Country/Area,931,34049.59,34352.72,34683.44,35015.83
Malaysia,458,458,Country/Area,920,33938.22,34308.53,34671.90,35028.03
Yemen,887,887,Country/Area,922,33696.61,34449.83,35219.85,36000.45
Ghana,288,288,Country/Area,914,33475.87,34121.99,34777.52,35439.79
Mozambique,508,508,Country/Area,910,32969.52,33897.35,34858.40,35834.56
Australia/New Zealand,1836,53,SDG region,1828,31362.70,31667.21,31969.42,32268.75
Australia/New Zealand,927,53,Subregion,909,31362.70,31667.21,31969.42,32268.75
Nepal,524,524,Country/Area,5501,30547.58,30896.59,31240.32,31577.36
Madagascar,450,450,Country/Area,910,29611.71,30325.73,31056.61,31797.31
No income group available,1518,,Income Group,1802,28967.01,29515.19,30083.24,30625.39
Venezuela (Bolivarian Republic of),862,862,Country/Area,931,28301.70,28838.50,29395.33,29926.37
C�te d'Ivoire,384,384,Country/Area,914,28160.54,28873.03,29603.30,30344.18
Cameroon,120,120,Country/Area,911,27914.54,28647.29,29394.43,30150.78
Niger,562,562,Country/Area,914,26207.98,27202.84,28238.97,29315.97
Australia,36,36,Country/Area,927,26177.41,26439.11,26699.48,26958.05
Dem. People's Republic of Korea,408,408,Country/Area,906,26069.42,26160.82,26244.58,26319.92
"China, Taiwan Province of China",158,158,Country/Area,906,23893.40,23923.28,23950.21,23974.03
Burkina Faso,854,854,Country/Area,914,22673.76,23251.49,23840.25,24436.93
Mali,466,466,Country/Area,914,22593.59,23293.70,24015.79,24758.66
Syrian Arab Republic,760,760,Country/Area,922,22125.25,23227.01,24348.05,25427.19
Sri Lanka,144,144,Country/Area,5501,21832.14,21893.58,21949.27,22000.25
Malawi,454,454,Country/Area,910,20405.32,20931.75,21475.96,22033.99
Zambia,894,894,Country/Area,910,20017.68,20569.74,21134.70,21706.93
Romania,642,642,Country/Area,923,19659.27,19892.81,19619.00,19424.32
Chile,152,152,Country/Area,931,19603.73,19629.59,19658.84,19690.32
Kazakhstan,398,398,Country/Area,5500,19398.00,19606.63,19828.17,20055.85
Ecuador,218,218,Country/Area,931,18001.00,18190.48,18377.37,18563.37
Guatemala,320,320,Country/Area,916,17843.91,18092.03,18358.43,18636.53
Chad,148,148,Country/Area,911,17723.32,18278.57,18847.15,19425.96
Somalia,706,706,Country/Area,910,17597.51,18143.38,18706.92,19281.90
Netherlands,528,528,Country/Area,926,17564.01,17618.30,17671.13,17722.33
Senegal,686,686,Country/Area,914,17316.45,17763.16,18221.57,18687.80
Cambodia,116,116,Country/Area,920,16767.84,16944.83,17121.85,17293.53
Zimbabwe,716,716,Country/Area,910,16320.54,16665.41,17020.32,17375.29
Guinea,324,324,Country/Area,914,13859.34,14190.61,14528.77,14873.05
Rwanda,646,646,Country/Area,910,13776.70,14094.68,14414.91,14737.25
Oceania (excluding Australia and New Zealand),1835,543,SDG region,1828,13675.85,13908.56,14139.79,14370.69
Benin,204,204,Country/Area,914,13352.86,13712.83,14080.07,14454.20
Burundi,108,108,Country/Area,910,12889.58,13238.56,13591.66,13948.14
Melanesia,928,54,Subregion,909,12413.35,12634.23,12853.82,13073.24
Tunisia,788,788,Country/Area,912,12356.12,12458.22,12564.69,12665.80
Bolivia (Plurinational State of),68,68,Country/Area,931,12224.11,12388.57,12567.34,12746.15
Belgium,56,56,Country/Area,926,11655.93,11686.14,11715.77,11744.52
Haiti,332,332,Country/Area,915,11585.00,11724.76,11867.03,12009.51
Jordan,400,400,Country/Area,922,11285.87,11337.05,11384.92,11442.11
Dominican Republic,214,214,Country/Area,915,11228.82,11332.97,11434.01,11532.15
Cuba,192,192,Country/Area,915,11212.19,11194.45,11174.59,11152.63
South Sudan,728,728,Country/Area,910,10913.16,11088.80,11277.09,11473.44
Sweden,752,752,Country/Area,924,10549.35,10612.09,10673.67,10733.87
Czechia,203,203,Country/Area,923,10493.99,10495.30,10503.73,10509.97
Honduras,340,340,Country/Area,916,10432.86,10593.80,10759.41,10923.97
Greece,300,300,Country/Area,925,10384.97,10341.28,10302.72,10263.30
Azerbaijan,31,31,Country/Area,922,10358.07,10412.65,10462.90,10509.54
Portugal,620,620,Country/Area,925,10270.87,10247.61,10223.35,10198.12
Papua New Guinea,598,598,Country/Area,928,10142.62,10329.93,10515.79,10701.14
Hungary,348,348,Country/Area,923,9967.31,10156.24,9994.99,9870.87
Tajikistan,762,762,Country/Area,5500,9952.79,10143.54,10331.51,10516.94
Belarus,112,112,Country/Area,923,9534.95,9498.24,9455.04,9412.54
United Arab Emirates,784,784,Country/Area,922,9441.13,9516.87,9591.85,9665.32
Israel,376,376,Country/Area,922,9038.31,9174.52,9311.65,9448.78
Austria,40,40,Country/Area,926,8939.62,8958.96,8977.14,8994.12
Togo,768,768,Country/Area,914,8848.70,9053.80,9260.86,9470.16
Switzerland,756,756,Country/Area,926,8740.47,8796.67,8851.43,8904.61
Sierra Leone,694,694,Country/Area,914,8605.72,8791.09,8977.97,9165.38
Lao People's Democratic Republic,418,418,Country/Area,920,7529.48,7633.78,7736.68,7838.30
"China, Hong Kong SAR",344,344,Country/Area,906,7488.87,7491.61,7496.68,7499.79
Serbia,688,688,Country/Area,925,7221.37,7149.08,7097.03,7056.38
Nicaragua,558,558,Country/Area,916,6948.39,7046.31,7142.53,7237.31
Libya,434,434,Country/Area,912,6812.34,6888.39,6964.20,7038.38
Bulgaria,100,100,Country/Area,923,6781.95,6687.72,6618.62,6565.19
Paraguay,600,600,Country/Area,931,6780.74,6861.52,6947.27,7031.34
Kyrgyzstan,417,417,Country/Area,5500,6630.62,6735.35,6839.61,6942.68
Turkmenistan,795,795,Country/Area,5500,6430.77,6516.10,6598.07,6676.97
El Salvador,222,222,Country/Area,916,6336.39,6364.94,6396.29,6426.23
Singapore,702,702,Country/Area,920,5975.69,6014.72,6052.71,6089.54
Congo,178,178,Country/Area,911,5970.42,6106.87,6244.55,6383.74
Denmark,208,208,Country/Area,924,5882.26,5910.91,5939.70,5968.47
Slovakia,703,703,Country/Area,923,5643.45,5795.20,5702.83,5635.03
Central African Republic,140,140,Country/Area,911,5579.14,5742.32,5915.63,6097.45
Finland,246,246,Country/Area,924,5540.75,5545.47,5549.89,5553.99
Lebanon,422,422,Country/Area,922,5489.74,5353.93,5219.04,5097.60
Norway,578,578,Country/Area,924,5434.32,5474.36,5514.48,5554.47
Liberia,430,430,Country/Area,914,5302.68,5418.38,5536.95,5657.23
State of Palestine,275,275,Country/Area,922,5250.07,5371.23,5494.96,5620.61
New Zealand,554,554,Country/Area,927,5185.29,5228.10,5269.94,5310.70
Costa Rica,188,188,Country/Area,916,5180.83,5212.17,5246.71,5280.20
Ireland,372,372,Country/Area,924,5023.11,5056.93,5089.48,5120.87
Mauritania,478,478,Country/Area,914,4736.14,4862.99,4993.92,5128.14
Oman,512,512,Country/Area,922,4576.30,4644.38,4713.55,4780.71
Panama,591,591,Country/Area,916,4408.58,4468.09,4527.96,4586.67
Kuwait,414,414,Country/Area,922,4268.87,4310.11,4349.38,4387.11
Croatia,191,191,Country/Area,925,4030.36,4008.62,3986.63,3964.39
Georgia,268,268,Country/Area,922,3744.39,3728.28,3717.43,3709.51
Eritrea,232,232,Country/Area,910,3684.03,3748.90,3817.65,3889.63
Uruguay,858,858,Country/Area,931,3422.79,3423.11,3423.32,3423.45
Mongolia,496,496,Country/Area,906,3398.37,3447.16,3493.63,3537.95
Republic of Moldova,498,498,Country/Area,923,3273.00,3435.93,3329.87,3254.97
Puerto Rico,630,630,Country/Area,915,3252.41,3260.31,3268.80,3275.31
Bosnia and Herzegovina,70,70,Country/Area,925,3233.53,3210.85,3194.38,3181.56
Albania,8,8,Country/Area,925,2842.32,2832.44,2826.02,2821.63
Jamaica,388,388,Country/Area,915,2827.38,2825.54,2824.74,2823.20
Armenia,51,51,Country/Area,922,2780.47,2777.97,2777.98,2777.00
Lithuania,440,440,Country/Area,924,2750.06,2718.35,2692.80,2668.45
Gambia,270,270,Country/Area,914,2705.99,2773.17,2841.80,2911.21
Qatar,634,634,Country/Area,922,2695.12,2716.39,2737.06,2757.22
Botswana,72,72,Country/Area,913,2630.30,2675.35,2719.69,2763.34
Namibia,516,516,Country/Area,913,2567.01,2604.17,2645.81,2690.28
Gabon,266,266,Country/Area,911,2388.99,2436.57,2484.56,2532.88
Lesotho,426,426,Country/Area,913,2305.83,2330.32,2356.08,2381.38
Slovenia,705,705,Country/Area,925,2119.84,2119.67,2118.97,2117.76
Guinea-Bissau,624,624,Country/Area,914,2105.57,2150.84,2197.15,2244.37
North Macedonia,807,807,Country/Area,925,2093.60,2085.68,2082.71,2082.42
Latvia,428,428,Country/Area,924,1850.65,1830.21,1810.24,1790.80
Equatorial Guinea,226,226,Country/Area,911,1674.91,1714.67,1754.99,1795.57
Kosovo (under UNSC res. 1244),412,412,Country/Area,925,1659.71,1663.59,1667.48,1671.38
Trinidad and Tobago,780,780,Country/Area,915,1531.04,1534.94,1538.20,1540.94
Bahrain,48,48,Country/Area,922,1472.23,1485.51,1498.71,1511.68
Timor-Leste,626,626,Country/Area,920,1341.30,1360.60,1379.88,1399.18
Estonia,233,233,Country/Area,924,1326.06,1322.77,1319.04,1314.90
Mauritius,480,480,Country/Area,910,1299.47,1300.56,1301.98,1303.21
Cyprus,196,196,Country/Area,922,1251.49,1260.14,1268.47,1276.51
Eswatini,748,748,Country/Area,913,1201.67,1210.82,1222.08,1234.86
Djibouti,262,262,Country/Area,910,1120.85,1136.45,1152.33,1168.26
R�union,638,638,Country/Area,910,974.05,981.80,989.35,996.74
Fiji,242,242,Country/Area,928,929.77,936.38,943.07,949.99
Comoros,174,174,Country/Area,910,836.77,852.08,867.60,883.08
Guyana,328,328,Country/Area,931,808.73,813.83,819.59,825.05
Bhutan,64,64,Country/Area,5501,782.46,787.43,792.38,797.33
Solomon Islands,90,90,Country/Area,928,724.27,740.43,756.67,773.03
Polynesia,957,61,Subregion,909,723.49,730.01,736.42,742.72
"China, Macao SAR",446,446,Country/Area,906,695.17,704.15,713.08,721.92
Luxembourg,442,442,Country/Area,926,647.60,654.77,661.59,668.10
Montenegro,499,499,Country/Area,925,627.08,626.48,626.10,625.62
Suriname,740,740,Country/Area,931,618.04,623.24,628.79,634.22
Cabo Verde,132,132,Country/Area,914,593.15,598.68,604.46,610.21
Western Sahara,732,732,Country/Area,912,575.99,587.26,598.39,609.39
Micronesia,954,57,Subregion,909,539.01,544.32,549.55,554.73
Malta,470,470,Country/Area,925,533.29,535.06,536.74,538.30
Maldives,462,462,Country/Area,5501,523.79,521.02,517.89,515.22
Brunei Darussalam,96,96,Country/Area,920,449.00,452.52,455.86,459.05
Bahamas,44,44,Country/Area,915,409.98,412.62,415.22,417.79
Belize,84,84,Country/Area,916,405.27,410.83,416.66,422.44
Guadeloupe,312,312,Country/Area,915,395.75,395.84,396.35,396.87
Iceland,352,352,Country/Area,924,372.90,375.32,377.69,380.01
Martinique,474,474,Country/Area,915,367.51,366.98,366.42,365.82
Vanuatu,548,548,Country/Area,928,326.74,334.51,342.32,350.20
Mayotte,175,175,Country/Area,910,326.10,336.00,346.00,356.02
French Polynesia,258,258,Country/Area,957,306.28,308.87,311.38,313.81
French Guiana,254,254,Country/Area,931,304.56,312.16,319.80,327.48
New Caledonia,540,540,Country/Area,928,289.95,292.99,295.97,298.87
Barbados,52,52,Country/Area,915,281.64,282.00,282.31,282.58
Sao Tome and Principe,678,678,Country/Area,911,227.38,231.86,236.38,240.98
Samoa,882,882,Country/Area,957,222.38,225.68,228.97,232.23
Cura�ao,531,531,Country/Area,915,191.16,192.08,192.97,193.84
Saint Lucia,662,662,Country/Area,915,179.86,180.25,180.81,181.31
Guam,316,316,Country/Area,954,171.77,172.95,174.11,175.26
Kiribati,296,296,Country/Area,954,131.23,133.52,135.76,137.98
Grenada,308,308,Country/Area,915,125.44,126.18,126.89,127.55
Micronesia (Fed. States of),583,583,Country/Area,954,114.16,115.22,116.30,117.39
Jersey,832,832,Country/Area,924,110.78,111.80,112.84,113.89
Seychelles,690,690,Country/Area,910,107.12,107.66,108.26,108.84
Tonga,776,776,Country/Area,957,106.86,107.77,108.68,109.60
Aruba,533,533,Country/Area,915,106.45,106.28,106.18,106.04
Saint Vincent and the Grenadines,670,670,Country/Area,915,103.95,103.70,103.68,103.82
United States Virgin Islands,850,850,Country/Area,915,99.47,98.75,98.06,97.33
Antigua and Barbuda,28,28,Country/Area,915,93.76,94.30,94.82,95.32
Isle of Man,833,833,Country/Area,924,84.52,84.71,84.90,85.08
Andorra,20,20,Country/Area,925,79.82,80.09,80.34,80.58
Dominica,212,212,Country/Area,915,72.74,73.04,73.37,73.69
Cayman Islands,136,136,Country/Area,915,68.71,69.31,69.89,70.45
Bermuda,60,60,Country/Area,905,64.18,64.07,63.94,63.78
Guernsey,831,831,Country/Area,924,63.30,63.54,63.79,64.03
Greenland,304,304,Country/Area,905,56.47,56.64,56.79,56.92
Faroe Islands,234,234,Country/Area,924,53.09,53.27,53.44,53.62
Northern Mariana Islands,580,580,Country/Area,954,49.55,49.80,50.03,50.26
Saint Kitts and Nevis,659,659,Country/Area,915,47.66,47.76,47.85,47.94
Turks and Caicos Islands,796,796,Country/Area,915,45.70,46.06,46.43,46.80
American Samoa,16,16,Country/Area,957,44.27,43.91,43.54,43.16
Sint Maarten (Dutch part),534,534,Country/Area,915,44.18,44.22,44.31,44.40
Marshall Islands,584,584,Country/Area,954,41.57,42.00,42.42,42.82
Liechtenstein,438,438,Country/Area,926,39.33,39.58,39.82,40.05
Monaco,492,492,Country/Area,926,36.47,36.30,36.16,36.05
San Marino,674,674,Country/Area,925,33.66,33.64,33.61,33.58
Gibraltar,292,292,Country/Area,925,32.65,32.69,32.72,32.74
Saint Martin (French part),663,663,Country/Area,915,31.79,32.08,32.34,32.58
British Virgin Islands,92,92,Country/Area,915,31.31,31.54,31.76,31.98
"Bonaire, Sint Eustatius and Saba",535,535,Country/Area,915,27.03,27.15,27.27,27.40
Palau,585,585,Country/Area,954,18.05,18.06,18.05,18.04
Cook Islands,184,184,Country/Area,957,17.01,17.04,17.07,17.10
Anguilla,660,660,Country/Area,915,15.86,15.90,15.94,15.97
Nauru,520,520,Country/Area,954,12.67,12.78,12.88,12.98
Wallis and Futuna Islands,876,876,Country/Area,957,11.57,11.50,11.44,11.39
Tuvalu,798,798,Country/Area,957,11.31,11.40,11.48,11.56
Saint Barth�lemy,652,652,Country/Area,915,10.97,10.99,11.02,11.04
Saint Pierre and Miquelon,666,666,Country/Area,905,5.86,5.84,5.82,5.79
Saint Helena,654,654,Country/Area,914,5.37,5.31,5.25,5.20
Montserrat,500,500,Country/Area,915,4.39,4.39,4.37,4.36
Falkland Islands (Malvinas),238,238,Country/Area,931,3.78,3.79,3.80,3.82
Niue,570,570,Country/Area,957,1.93,1.94,1.93,1.94
Tokelau,772,772,Country/Area,957,1.87,1.89,1.91,1.93
Holy See,336,336,Country/Area,925,0.51,0.52,0.53,0.53
